InspectionID,BusinessName,License,Address,City,State,Zip,Latitude,Longitude,DatePerformed,Result,ViolationID,ViolationText,ViolationComment
1453744,MCDONALD'S,1332927,"2438 W CERMAK RD ",CHICAGO,IL,60608,41.8521245314486,-87.6872821649016,2015-02-03,Pass,2,FACILITIES TO MAINTAIN PROPER TEMPERATURE,"CORRECTED  REACH IN COOLER NOW AT PROPER TEMPERATURE. 37.9 DEGREES  COOLER MAY NOW BE USED.  "
1453744,MCDONALD'S,1332927,"2438 W CERMAK RD ",CHICAGO,IL,60608,41.8521245314486,-87.6872821649016,2015-02-03,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","ALL NOZZLES ON DRINK MACHINES IN NEED OF CLEANING TO REMOVE ALL BUILD UP. MUST CLEAN AND MAINTAIN AT ALL TIMES.   "
1453792,MCDONALD'S,1332927,"2438 W CERMAK RD ",CHICAGO,IL,60608,41.8521245314486,-87.6872821649016,2015-02-27,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","ALL NOZZLES ON DRINK MACHINES IN NEED OF CLEANING TO REMOVE ALL BUILD UP. MUST CLEAN AND MAINTAIN AT ALL TIMES.   "
1454217,MCDONALD'S,1332921,"2005 W Chicago AVE ",CHICAGO,IL,60622,41.8957965124416,-87.6773227997198,2015-09-30,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","CORRECTED  "
1459670,MCDONALD'S,2328103,"600 N CLARK ST ",CHICAGO,IL,60654,41.8924640329927,-87.631294885907,2014-05-13,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",INSTRUCTED TO CLEAN THE INSIDE COMPARTMENT OF ICE MACHINE AND MAINTAIN WITH SLIGHT DIRT ACCUMULATION.
1467607,MCDONALD'S RESTAURANT (MCDONALD'S),2411397,"233 N MICHIGAN AVE ",CHICAGO,IL,60601,41.8865673708869,-87.6243846705971,2015-07-13,Pass w/ Conditions,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","MUST DETAIL CLEAN ALL COOLERS, COOKING EQUIPMENT, FROZEN DESERT MACHINES AND PREP SURFACES. MUST REMOVE SPILLS AND FOOD DEBRIS. MUST ALSO DETAIL CLEAN THE INTERIOR TOP PANEL OF THE ICE MACHINE. MUST DETAIL CLEAN THE EXTERIOR OF THE GREASE TRAP AND REMOVE EXCESSIVE GREASE BUILD UP."
1473309,MCDONALD'S,1593965,"4158 S ASHLAND AVE ",CHICAGO,IL,60609,41.8177427370255,-87.6653350123341,2014-06-04,Pass,9,"WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE",VIOLATION CORRECTED; PREMISES HAS HOT RUNNING WATER AT THIS TIME.  WATER TEMPERATURE AT THE 3 COMP. SINK NOW AT 115.6*F.
1473309,MCDONALD'S,1593965,"4158 S ASHLAND AVE ",CHICAGO,IL,60609,41.8177427370255,-87.6653350123341,2014-06-04,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",VIOLATION CORRECTED.
1473837,MCDONALD'S,30231,"4946 N MILWAUKEE AVE ",CHICAGO,IL,60630,41.9706775856096,-87.7634289441801,2014-06-18,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",OBSERVED SLIGHT CALCIUM BUILD UP ON BOTH ICE CHUTES AT SODA MACHINE. MUST CLEAN AND MAINTAIN EQUIPMENT.
1473984,MCDONALD'S RESTAURANTS (MCDONALD'S),2064662,"2525 S DR MARTIN LUTHER KING JR DR ",CHICAGO,IL,60616,41.8467666109193,-87.6171757775497,2014-06-23,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",VIOLATION CORRECTED.
1480404,MCDONALD'S,1332913,"2609 S KEDZIE AVE ",CHICAGO,IL,60623,41.844202240983,-87.7048869943916,2014-12-04,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","MULTI-USE SPOON CONTAINER AT FRONT LINE NOT CLEAN, DEBRIS. INSTD TO CLEAN AND MAINTAIN. BLENDERS AT COFFEE LINE NOT CLEAN. INSTD TO CLEAN AND MAINTAIN. INTERIOR PANEL OF ICE MACHINE NOT CLEAN. CLEAN SAME AND MAINTAIN"
1482519,MCDONALD'S,30231,"4946 N MILWAUKEE AVE ",CHICAGO,IL,60630,41.9706775856096,-87.7634289441801,2015-01-05,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",OBSERVED BLACK SUBSTANCE INSIDE THE WASTE WATER TRAY OF THE SELF SERVE POP MACHINE IN DINING ROOM.INSTRUCTED TO CLEAN AND MAINTAIN
